SENTENCE_ID,SENTENCE,NUMBER_WORDS_SENTENCE
1-25,"He  had  qualified  as  a  doctor  but  early  relinquished  the  profession  of  medicine,  and  lived  at  home  while  pursuing  literary  ambitions;  though  his  verses  never  had  any  marked  success. ",29
1-26,"John  practiced  for  some  time  as  a  barrister,  but  had  finally  settled  down  to  the  more  congenial  life  of  a  country  squire. ",22
1-27,"He  had  married  two  years  ago,  and  had  taken  his  wife  to  live  at  Styles,  though  I  entertained  a  shrewd  suspicion  that  he  would  have  preferred  his  mother  to  increase  his  allowance,  which  would  have  enabled  him  to  have  a  home  of  his  own. ",44
1-28,"Mr.s.  Cavendish,  however,  was  a  lady  who  liked  to  make  her  own  plans,  and  expected  other  people  to  fall  in  with  them,  and  in  this  case  she  certainly  had  the  whip  hand,  namely:  the  purse  strings. ",36
1-29,John  noticed  my  surprise  at  the  news  of  his  mother's  remarriage  and  smiled  rather  ruefully. ,15
1-30,Rotten  little  bounder  too!  he  said  savagely. ,7
1-31,"I  can  tell  you,  Hastings,  it's  making  life  jolly  difficult  for  us. ",12
1-32,As  for  Evie...you  remember  Evie? ,5
1-33,No. ,1
1-34,"Oh,  I  suppose  she  was  after  your  time. ",8
1-35,"She's  the  mater's  factotum,  companion,  Jack  of  all  trades! ",9
1-36,A  great  sport...old  Evie! ,4
1-37,"Not  precisely  young  and  beautiful,  but  as  game  as  they  make  them. ",12
1-38,You  were  going  to  say......? ,5
1-39,"Oh,  this  fellow! ",3
1-40,"He  turned  up  from  nowhere,  on  the  pretext  of  being  a  second  cousin  or  something  of  Evie's,  though  she  didn't  seem  particularly  keen  to  acknowledge  the  relationship. ",27
1-41,"The  fellow  is  an  absolute  outsider,  anyone  can  see  that. ",10
1-42,"He's  got  a  great  black  beard,  and  wears  patent  leather  boots  in  all  weathers! ",14
1-43,"But  the  mater  cottoned  to  him  at  once,  took  him  on  as  secretary...you  know  how  she's  always  running  a  hundred  societies? ",21
1-44,I  nodded. ,2
1-45,"Well,  of  course  the  war  has  turned  the  hundreds  into  thousands. ",11
1-46,No  doubt  the  fellow  was  very  useful  to  her. ,9
1-47,"But  you  could  have  knocked  us  all  down  with  a  feather  when,  three  months  ago,  she  suddenly  announced  that  she  and  Alfred  were  engaged! ",24
1-48,The  fellow  must  be  at  least  twenty  years  younger  than  she  is! ,12
1-49,"It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. ",17
1-50,It  must  be  a  difficult  situation  for  you  all. ,9
1-51,Difficult! ,1
1-52,It's  damnable! ,2
1-53,"Thus  it  came  about  that,  three  days  later,  I  descended  from  the  train  at  Styles  St. ",16
1-54,"Mary,  an  absurd  little  station,  with  no  apparent  reason  for  existence,  perched  up  in  the  midst  of  green  fields  and  country  lanes. ",22
1-55,"John  Cavendish  was  waiting  on  the  platform,  and  piloted  me  out  to  the  car. ",14
1-56,"Got  a  drop  or  two  of  petrol  still,  you  see,  he  remarked. ",12
1-57,Mainly  owing  to  the  mater's  activities. ,6
1-58,The  village  of  Styles  St. ,5
1-59,"Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. ",21
1-60,"It  was  a  still,  warm  day  in  early  July. ",9
1-61,"As  one  looked  out  over  the  flat  Essex  country,  lying  so  green  and  peaceful  under  the  afternoon  sun,  it  seemed  almost  impossible  to  believe  that,  not  so  very  far  away,  a  great  war  was  running  its  appointed  course. ",38
1-62,I  felt  I  had  suddenly  strayed  into  another  world. ,9
1-63,"As  we  turned  in  at  the  lodge  gates,  John  said:  I'm  afraid  you'll  find  it  very  quiet  down  here,  Hastings. ",20
1-64,"My  dear  fellow,  that's  just  what  I  want. ",8
1-65,"Oh,  it's  pleasant  enough  if  you  want  to  lead  the  idle  life. ",12
1-66,"I  drill  with  the  volunteers  twice  a  week,  and  lend  a  hand  at  the  farms. ",15
1-67,My  wife  works  regularly  'on  the  land'. ,7
1-68,"She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. ",16
1-69,It's  a  jolly  good  life  taking  it  all  round...if  it  weren't  for  that  fellow  Alfred  Inglethorp! ,16
1-70,"He  checked  the  car  suddenly,  and  glanced  at  his  watch. ",10
1-71,I  wonder  if  we've  time  to  pick  up  Cynthia. ,9
1-72,"No,  she'll  have  started  from  the  hospital  by  now. ",9
1-73,Cynthia! ,1
1-74,That's  not  your  wife? ,4
1-75,"No,  Cynthia  is  a  protegee  of  my  mother's,  the  daughter  of  an  old  schoolfellow  of  hers,  who  married  a  rascally  solicitor. ",21
1-76,"He  came  a  cropper,  and  the  girl  was  left  an  orphan  and  penniless. ",13
1-77,"My  mother  came  to  the  rescue,  and  Cynthia  has  been  with  us  nearly  two  years  now. ",16
1-78,"She  works  in  the  Red  Cross  Hospital  at  Tadminster,  seven  miles  away. ",12
1-79,"As  he  spoke  the  last  words,  we  drew  up  in  front  of  the  fine  old  house. ",16
1-80,"A  lady  in  a  stout  tweed  skirt,  who  was  bending  over  a  flower  bed,  straightened  herself  at  our  approach. ",19
1-81,"Hullo,  Evie,  here's  our  wounded  hero! ",6
1-82,mr  Hastings...Miss  Howard. ,3
1-83,"Miss  Howard  shook  hands  with  a  hearty,  almost  painful,  grip. ",10
1-84,I  had  an  impression  of  very  blue  eyes  in  a  sunburnt  face. ,12
1-85,"She  was  a  pleasant-looking  woman  of  about  forty,  with  a  deep  voice,  almost  manly  in  its  stentorian  tones,  and  had  a  large  sensible  square  body,  with  feet  to  match...these  last  encased  in  good  thick  boots. ",35
1-86,"Her  conversation,  I  soon  found,  was  couched  in  the  telegraphic  style. ",11
1-87,Weeds  grow  like  house  afire. ,5
1-88,Can't  keep  even  with  'em. ,5
1-89,Shall  press  you  in. ,4
1-90,Better  be  careful. ,3
1-91,"I'm  sure  I  shall  be  only  too  delighted  to  make  myself  useful,  I  responded. ",14
1-92,Don't  say  it. ,3
1-93,Never  does. ,2
1-94,Wish  you  hadn't  later. ,4
1-95,"You're  a  cynic,  Evie,  said  John,  laughing. ",7
1-96,Where's  tea  today...inside  or  out? ,5
1-97,Out. ,1
1-98,Too  fine  a  day  to  be  cooped  up  in  the  house. ,11
1-99,"Come  on  then,  you've  done  enough  gardening  for  today. ",9
1-100,"'The  labourer  is  worthy  of  his  hire',  you  know. ",9
1-101,Come  and  be  refreshed. ,4
1-102,"Well,  said  Miss  Howard,  drawing  off  her  gardening  gloves,  I'm  inclined  to  agree  with  you. ",15
1-103,She  led  the  way  round  the  house  to  where  tea  was  spread  under  the  shade  of  a  large  sycamore. ,19
1-104,"A  figure  rose  from  one  of  the  basket  chairs,  and  came  a  few  steps  to  meet  us. ",17
1-105,"My  wife,  Hastings,  said  John. ",5
1-106,I  shall  never  forget  my  first  sight  of  Mary  Cavendish. ,10
1-107,"Her  tall,  slender  form,  outlined  against  the  bright  light;  the  vivid  sense  of  slumbering  fire  that  seemed  to  find  expression  only  in  those  wonderful  tawny  eyes  of  hers,  remarkable  eyes,  different  from  any  other  woman's  that  I  have  ever  known;  the  intense  power  of  stillness  she  possessed,  which  nevertheless  conveyed  the  impression  of  a  wild  untamed  spirit  in  an  exquisitely  civilised  body...all  these  things  are  burnt  into  my  memory. ",69
1-108,I  shall  never  forget  them. ,5
1-109,"She  greeted  me  with  a  few  words  of  pleasant  welcome  in  a  low  clear  voice,  and  I  sank  into  a  basket  chair  feeling  distinctly  glad  that  I  had  accepted  John's  invitation. ",31
1-110,"Mr.s.  Cavendish  gave  me  some  tea,  and  her  few  quiet  remarks  heightened  my  first  impression  of  her  as  a  thoroughly  fascinating  woman. ",22
1-111,"An  appreciative  listener  is  always  stimulating,  and  I  described,  in  a  humorous  manner,  certain  incidents  of  my  Convalescent  Home,  in  a  way  which,  I  flatter  myself,  greatly  amused  my  hostess. ",30
1-112,"John,  of  course,  good  fellow  though  he  is,  could  hardly  be  called  a  brilliant  conversationalist. ",15
1-113,"At  that  moment  a  well  remembered  voice  floated  through  the  open  French  window  near  at  hand:  Then  you'll  write  to  the  Princess  after  tea,  Alfred? ",25
1-114,"I'll  write  to  Lady  Tadminster  for  the  second  day,  myself. ",10
1-115,Or  shall  we  wait  until  we  hear  from  the  Princess? ,10
1-116,"In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mr.s.  Crosbie  the  second. ",18
1-117,Then  there's  the  Duchess...about  the  school  fete. ,7
1-118,"There  was  the  murmur  of  a  man's  voice,  and  then  Mr.s.  Inglethorp's  rose  in  reply:  Yes,  certainly. ",17
1-119,After  tea  will  do  quite  well. ,6
1-120,"You  are  so  thoughtful,  Alfred  dear. ",6
1-121,"The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. ",29
1-122,"A  man  followed  her,  a  suggestion  of  deference  in  his  manner. ",11
1-123,Mr.s.  Inglethorp  greeted  me  with  effusion. ,6
1-124,"Why,  if  it  isn't  too  delightful  to  see  you  again,  mr  Hastings,  after  all  these  years. ",16
1-125,"Alfred,  darling,  mr  Hastings...my  husband. ",5
1-126,I  looked  with  some  curiosity  at  'Alfred  darling'. ,8
1-127,He  certainly  struck  a  rather  alien  note. ,7
1-128,I  did  not  wonder  at  John  objecting  to  his  beard. ,10
1-129,It  was  one  of  the  longest  and  blackest  I  have  ever  seen. ,12
1-130,"He  wore  gold-rimmed  pince-nez,  and  had  a  curious  impassivity  of  feature. ",11
1-131,"It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. ",20
1-132,His  voice  was  rather  deep  and  unctuous. ,7
1-133,"He  placed  a  wooden  hand  in  mine  and  said:  This  is  a  pleasure,  mr  Hastings. ",15
1-134,"Then,  turning  to  his  wife:  Emily  dearest,  I  think  that  cushion  is  a  little  damp. ",15
1-135,"She  beamed  fondly  on  him,  as  he  substituted  another  with  every  demonstration  of  the  tenderest  care. ",16
1-136,Strange  infatuation  of  an  otherwise  sensible  woman! ,7
1-137,"With  the  presence  of  mr  Inglethorp,  a  sense  of  constraint  and  veiled  hostility  seemed  to  settle  down  upon  the  company. ",20
1-138,"Miss  Howard,  in  particular,  took  no  pains  to  conceal  her  feelings. ",11
1-139,"Mr.s.  Inglethorp,  however,  seemed  to  notice  nothing  unusual. ",8
1-140,"Her  volubility,  which  I  remembered  of  old,  had  lost  nothing  in  the  intervening  years,  and  she  poured  out  a  steady  flood  of  conversation,  mainly  on  the  subject  of  the  forthcoming  bazaar  which  she  was  organizing  and  which  was  to  take  place  shortly. ",42
1-141,Occasionally  she  referred  to  her  husband  over  a  question  of  days  or  dates. ,13
1-142,His  watchful  and  attentive  manner  never  varied. ,7
1-143,"From  the  very  first  I  took  a  firm  and  rooted  dislike  to  him,  and  I  flatter  myself  that  my  first  judgments  are  usually  fairly  shrewd. ",25
1-144,"Presently  Mr.s.  Inglethorp  turned  to  give  some  instructions  about  letters  to  Evelyn  Howard,  and  her  husband  addressed  me  in  his  painstaking  voice:  Is  soldiering  your  regular  profession,  mr  Hastings? ",29
1-145,"No,  before  the  war  I  was  in  Lloyd's. ",8
1-146,And  you  will  return  there  after  it  is  over? ,9
1-147,Perhaps. ,1
1-148,Either  that  or  a  fresh  start  altogether. ,7
1-149,Mary  Cavendish  leant  forward. ,4
1-150,"What  would  you  really  choose  as  a  profession,  if  you  could  just  consult  your  inclination? ",15
1-151,"Well,  that  depends. ",3
1-152,No  secret  hobby?  she  asked. ,5
1-153,Tell  me...you're  drawn  to  something? ,5
1-154,Every  one  is...usually  something  absurd. ,5
1-155,You'll  laugh  at  me. ,4
1-156,She  smiled. ,2
1-157,Perhaps. ,1
1-158,"Well,  I've  always  had  a  secret  hankering  to  be  a  detective! ",11
1-159,The  real  thing...Scotland  Yard? ,4
1-160,Or  Sherlock  Holmes? ,3
1-161,"Oh,  Sherlock  Holmes  by  all  means. ",6
1-162,"But  really,  seriously,  I  am  awfully  drawn  to  it. ",9
1-163,"I  came  across  a  man  in  Belgium  once,  a  very  famous  detective,  and  he  quite  inflamed  me. ",17
1-164,He  was  a  marvellous  little  fellow. ,6
1-165,He  used  to  say  that  all  good  detective  work  was  a  mere  matter  of  method. ,15
1-166,My  system  is  based  on  his...though  of  course  I  have  progressed  rather  further. ,13
1-167,"He  was  a  funny  little  man,  a  great  dandy,  but  wonderfully  clever. ",12
1-168,"Like  a  good  detective  story  myself,  remarked  Miss  Howard. ",9
1-169,"Lots  of  nonsense  written,  though. ",5
1-170,Criminal  discovered  in  last  chapter. ,5
1-171,Every  one  dumbfounded. ,3
1-172,Real  crime...you'd  know  at  once. ,5
1-173,"There  have  been  a  great  number  of  undiscovered  crimes,  I  argued. ",11
1-174,"Don't  mean  the  police,  but  the  people  that  are  right  in  it. ",12
1-175,The  family. ,2
1-176,You  couldn't  really  hoodwink  them. ,5
1-177,They'd  know. ,2
1-178,"Then,  I  said,  much  amused,  you  think  that  if  you  were  mixed  up  in  a  crime,  say  a  murder,  you'd  be  able  to  spot  the  murderer  right  off? ",28
1-179,Of  course  I  should. ,4
1-180,Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. ,11
1-181,But  I'm  certain  I'd  know. ,5
1-182,I'd  feel  it  in  my  fingertips  if  he  came  near  me. ,11
1-183,"It  might  be  a  'she,'  I  suggested. ",7
1-184,Might. ,1
1-185,But  murder's  a  violent  crime. ,5
1-186,Associate  it  more  with  a  man. ,6
1-187,Not  in  a  case  of  poisoning. ,6
1-188,Mr.s.  Cavendish's  clear  voice  startled  me. ,6
1-189,"Dr  Bauerstein  was  saying  yesterday  that,  owing  to  the  general  ignorance  of  the  more  uncommon  poisons  among  the  medical  profession,  there  were  probably  countless  cases  of  poisoning  quite  unsuspected. ",29
1-190,"Why,  Mary,  what  a  gruesome  conversation!  cried  Mr.s.  Inglethorp. ",9
1-191,It  makes  me  feel  as  if  a  goose  were  walking  over  my  grave. ,13
1-192,"Oh,  there's  Cynthia! ",3
1-193,A  young  girl  in  V. ,5
1-194,A. ,1
1-195,D. ,1
1-196,uniform  ran  lightly  across  the  lawn. ,6
1-197,"Why,  Cynthia,  you  are  late  today. ",6
1-198,This  is  mr  Hastings...Miss  Murdoch. ,5
1-199,"Cynthia  Murdoch  was  a  fresh-looking  young  creature,  full  of  life  and  vigour. ",12
1-200,She  tossed  off  her  little  V. ,6
1-201,A. ,1
1-202,D. ,1
1-203,"cap,  and  I  admired  the  great  loose  waves  of  her  auburn  hair,  and  the  smallness  and  whiteness  of  the  hand  she  held  out  to  claim  her  tea. ",27
1-204,With  dark  eyes  and  eyelashes  she  would  have  been  a  beauty. ,11
1-205,"She  flung  herself  down  on  the  ground  beside  John,  and  as  I  handed  her  a  plate  of  sandwiches  she  smiled  up  at  me. ",23
1-206,"Sit  down  here  on  the  grass,  do. ",7
1-207,It's  ever  so  much  nicer. ,5
1-208,I  dropped  down  obediently. ,4
1-209,"You  work  at  Tadminster,  don't  you,  Miss  Murdoch? ",8
1-210,She  nodded. ,2
1-211,For  my  sins. ,3
1-212,"Do  they  bully  you,  then?  I  asked,  smiling. ",8
1-213,I  should  like  to  see  them!  cried  Cynthia  with  dignity. ,10
1-214,"I  have  got  a  cousin  who  is  nursing,  I  remarked. ",10
1-215,And  she  is  terrified  of  'Sisters'. ,6
1-216,I  don't  wonder. ,3
1-217,"Sisters  are,  you  know,  mr  Hastings. ",6
1-218,They  simply  are! ,3
1-219,You've  no  idea! ,3
1-220,"But  I'm  not  a  nurse,  thank  heaven,  I  work  in  the  dispensary. ",12
1-221,"How  many  people  do  you  poison?  I  asked,  smiling. ",9
1-222,Cynthia  smiled  too. ,3
1-223,"Oh,  hundreds!  she  said. ",4
1-224,"Cynthia,  called  Mr.s.  Inglethorp,  do  you  think  you  could  write  a  few  notes  for  me? ",15
1-225,"Certainly,  Aunt  Emily. ",3
1-226,"She  jumped  up  promptly,  and  something  in  her  manner  reminded  me  that  her  position  was  a  dependent  one,  and  that  Mr.s.  Inglethorp,  kind  as  she  might  be  in  the  main,  did  not  allow  her  to  forget  it. ",37
1-227,My  hostess  turned  to  me. ,5
1-228,John  will  show  you  your  room. ,6
1-229,Supper  is  at  half-past  seven. ,5
1-230,We  have  given  up  late  dinner  for  some  time  now. ,10
1-231,"Lady  Tadminster,  our  Member's  wife...she  was  the  late  Lord  Abbotsbury's  daughter...does  the  same. ",13
1-232,She  agrees  with  me  that  one  must  set  an  example  of  economy. ,12
1-233,"We  are  quite  a  war  household;  nothing  is  wasted  here...every  scrap  of  waste  paper,  even,  is  saved  and  sent  away  in  sacks. ",22
1-234,"I  expressed  my  appreciation,  and  John  took  me  into  the  house  and  up  the  broad  staircase,  which  forked  right  and  left  half-way  to  different  wings  of  the  building. ",28
1-235,"My  room  was  in  the  left  wing,  and  looked  out  over  the  park. ",13
1-236,"John  left  me,  and  a  few  minutes  later  I  saw  him  from  my  window  walking  slowly  across  the  grass  arm  in  arm  with  Cynthia  Murdoch. ",25
1-237,"I  heard  Mr.s.  Inglethorp  call  Cynthia  impatiently,  and  the  girl  started  and  ran  back  to  the  house. ",17
1-238,"At  the  same  moment,  a  man  stepped  out  from  the  shadow  of  a  tree  and  walked  slowly  in  the  same  direction. ",21
1-239,"He  looked  about  forty,  very  dark  with  a  melancholy  clean-shaven  face. ",11
1-240,Some  violent  emotion  seemed  to  be  mastering  him. ,8
1-241,"He  looked  up  at  my  window  as  he  passed,  and  I  recognized  him,  though  he  had  changed  much  in  the  fifteen  years  that  had  elapsed  since  we  last  met. ",29
1-242,"It  was  John's  younger  brother,  Lawrence  Cavendish. ",7
1-243,I  wondered  what  it  was  that  had  brought  that  singular  expression  to  his  face. ,14
1-244,"Then  I  dismissed  him  from  my  mind,  and  returned  to  the  contemplation  of  my  own  affairs. ",16
1-245,"The  evening  passed  pleasantly  enough;  and  I  dreamed  that  night  of  that  enigmatical  woman,  Mary  Cavendish. ",16
1-246,"The  next  morning  dawned  bright  and  sunny,  and  I  was  full  of  the  anticipation  of  a  delightful  visit. ",18
1-247,"I  did  not  see  Mr.s.  Cavendish  until  lunch-time,  when  she  volunteered  to  take  me  for  a  walk,  and  we  spent  a  charming  afternoon  roaming  in  the  woods,  returning  to  the  house  about  five. ",33
1-248,"As  we  entered  the  large  hall,  John  beckoned  us  both  into  the  smoking-room. ",13
1-249,I  saw  at  once  by  his  face  that  something  disturbing  had  occurred. ,12
1-250,"We  followed  him  in,  and  he  shut  the  door  after  us. ",11
1-251,"Look  here,  Mary,  there's  the  deuce  of  a  mess. ",9
1-252,"Evie's  had  a  row  with  Alfred  Inglethorp,  and  she's  off. ",10
1-253,Evie? ,1
1-254,Off? ,1
1-255,John  nodded  gloomily. ,3
1-256,"Yes;  you  see  she  went  to  the  mater,  and...Oh,  here's  Evie  herself. ",12
1-257,Miss  Howard  entered. ,3
1-258,"Her  lips  were  set  grimly  together,  and  she  carried  a  small  suit-case. ",12
1-259,"She  looked  excited  and  determined,  and  slightly  on  the  defensive. ",10
1-260,"At  any  rate,  she  burst  out,  I've  spoken  my  mind! ",10
1-261,"My  dear  Evelyn,  cried  Mr.s.  Cavendish,  this  can't  be  true! ",10
1-262,Miss  Howard  nodded  grimly. ,4
1-263,True  enough! ,2
1-264,Afraid  I  said  some  things  to  Emily  she  won't  forget  or  forgive  in  a  hurry. ,15
1-265,Don't  mind  if  they've  only  sunk  in  a  bit. ,9
1-266,"Probably  water  off  a  duck's  back,  though. ",7
1-267,"I  said  right  out:  'You're  an  old  woman,  Emily,  and  there's  no  fool  like  an  old  fool. ",17
1-268,"The  man's  twenty  years  younger  than  you,  and  don't  you  fool  yourself  as  to  what  he  married  you  for. ",19
1-269,Money! ,1
1-270,"Well,  don't  let  him  have  too  much  of  it. ",9
1-271,Farmer  Raikes  has  got  a  very  pretty  young  wife. ,9
1-272,Just  ask  your  Alfred  how  much  time  he  spends  over  there.' ,11
1-273,She  was  very  angry. ,4
1-274,Natural! ,1
1-275,"I  went  on,  'I'm  going  to  warn  you,  whether  you  like  it  or  not. ",14
1-276,That  man  would  as  soon  murder  you  in  your  bed  as  look  at  you. ,14
1-277,He's  a  bad  lot. ,4
1-278,"You  can  say  what  you  like  to  me,  but  remember  what  I've  told  you. ",14
1-279,He's  a  bad  lot!' ,4
1-280,What  did  she  say? ,4
1-281,Miss  Howard  made  an  extremely  expressive  grimace. ,7
1-282,Darling  Alfred'...'dearest  Alfred'...'wicked  calumnies'  ...'wicked  lies'...'wicked  woman'...to  accuse  her  'dear  husband'! ,11
1-283,The  sooner  I  left  her  house  the  better. ,8
1-284,So  I'm  off. ,3
1-285,But  not  now? ,3
1-286,This  minute! ,2
1-287,For  a  moment  we  sat  and  stared  at  her. ,9
1-288,"Finally  John  Cavendish,  finding  his  persuasions  of  no  avail,  went  off  to  look  up  the  trains. ",16
1-289,"His  wife  followed  him,  murmuring  something  about  persuading  Mr.s.  Inglethorp  to  think  better  of  it. ",15
1-290,"As  she  left  the  room,  Miss  Howard's  face  changed. ",9
1-291,She  leant  towards  me  eagerly. ,5
1-292,"mr  Hastings,  you're  honest. ",4
1-293,I  can  trust  you? ,4
1-294,I  was  a  little  startled. ,5
1-295,"She  laid  her  hand  on  my  arm,  and  sank  her  voice  to  a  whisper. ",14
1-296,"Look  after  her,  mr  Hastings. ",5
1-297,My  poor  Emily. ,3
1-298,They're  a  lot  of  sharks...all  of  them. ,7
1-299,"Oh,  I  know  what  I'm  talking  about. ",7
1-300,There  isn't  one  of  them  that's  not  hard  up  and  trying  to  get  money  out  of  her. ,17
1-301,I've  protected  her  as  much  as  I  could. ,8
1-302,"Now  I'm  out  of  the  way,  they'll  impose  upon  her. ",10
1-303,"Of  course,  Miss  Howard,  I  said,  I'll  do  everything  I  can,  but  I'm  sure  you're  excited  and  overwrought. ",18
1-304,She  interrupted  me  by  slowly  shaking  her  forefinger. ,8
1-305,"Young  man,  trust  me. ",4
1-306,I've  lived  in  the  world  rather  longer  than  you  have. ,10
1-307,All  I  ask  you  is  to  keep  your  eyes  open. ,10
1-308,You'll  see  what  I  mean. ,5
1-309,"The  throb  of  the  motor  came  through  the  open  window,  and  Miss  Howard  rose  and  moved  to  the  door. ",19
1-310,John's  voice  sounded  outside. ,4
1-311,"With  her  hand  on  the  handle,  she  turned  her  head  over  her  shoulder,  and  beckoned  to  me. ",17
1-312,"Above  all,  mr  Hastings,  watch  that  devil...her  husband! ",8
1-313,There  was  no  time  for  more. ,6
1-314,Miss  Howard  was  swallowed  up  in  an  eager  chorus  of  protests  and  good-byes. ,13
1-315,The  Inglethorps  did  not  appear. ,5
1-316,"As  the  motor  drove  away,  Mr.s.  Cavendish  suddenly  detached  herself  from  the  group,  and  moved  across  the  drive  to  the  lawn  to  meet  a  tall  bearded  man  who  had  been  evidently  making  for  the  house. ",35
1-317,The  colour  rose  in  her  cheeks  as  she  held  out  her  hand  to  him. ,14
1-318,"Who  is  that?  I  asked  sharply,  for  instinctively  I  distrusted  the  man. ",12
1-319,"That's  Dr  Bauerstein,  said  John  shortly. ",6
1-320,And  who  is  Dr  Bauerstein? ,5
1-321,"He's  staying  in  the  village  doing  a  rest  cure,  after  a  bad  nervous  breakdown. ",14
1-322,"He's  a  London  specialist;  a  very  clever  man...one  of  the  greatest  living  experts  on  poisons,  I  believe. ",17
1-323,"And  he's  a  great  friend  of  Mary's,  put  in  Cynthia,  the  irrepressible. ",12
1-324,John  Cavendish  frowned  and  changed  the  subject. ,7
1-325,"Come  for  a  stroll,  Hastings. ",5
1-326,This  has  been  a  most  rotten  business. ,7
1-327,"She  always  had  a  rough  tongue,  but  there  is  no  stauncher  friend  in  England  than  Evelyn  Howard. ",17
1-328,"He  took  the  path  through  the  plantation,  and  we  walked  down  to  the  village  through  the  woods  which  bordered  one  side  of  the  estate. ",24
1-329,"As  we  passed  through  one  of  the  gates  on  our  way  home  again,  a  pretty  young  woman  of  gipsy  type  coming  in  the  opposite  direction  bowed  and  smiled. ",28
1-330,"That's  a  pretty  girl,  I  remarked  appreciatively. ",7
1-331,John's  face  hardened. ,3
1-332,That  is  Mr.s.  Raikes. ,4
1-333,The  one  that  Miss  Howard...... ,5
1-334,"Exactly,  said  John,  with  rather  unnecessary  abruptness. ",7
1-335,"I  thought  of  the  white-haired  old  lady  in  the  big  house,  and  that  vivid  wicked  little  face  that  had  just  smiled  into  ours,  and  a  vague  chill  of  foreboding  crept  over  me. ",32
1-336,I  brushed  it  aside. ,4
1-337,"Styles  is  really  a  glorious  old  place,  I  said  to  John. ",11
1-338,He  nodded  rather  gloomily. ,4
1-339,"Yes,  it's  a  fine  property. ",5
1-340,"It'll  be  mine  some  day...should  be  mine  now  by  rights,  if  my  father  had  only  made  a  decent  will. ",19
1-341,And  then  I  shouldn't  be  so  damned  hard  up  as  I  am  now. ,13
1-342,"Hard  up,  are  you? ",4
1-343,"My  dear  Hastings,  I  don't  mind  telling  you  that  I'm  at  my  wit's  end  for  money. ",16
1-344,Couldn't  your  brother  help  you? ,5
1-345,Lawrence? ,1
